Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
North Beach,2010,1263,141,42,11,23,26,358,0,11,26,190,21,54,72,50,8,606,247,15,395,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2010,7853,629,174,25,622,195,1759,0,214,87,1026,202,329,346,551,60,3011,1926,230,2686,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2010,1572,180,80,7,38,38,217,0,41,93,193,25,108,159,27,11,644,417,49,462,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2010,7800,779,105,108,1491,139,725,0,84,74,930,198,340,150,617,83,2019,2766,96,2919,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2011,57511,5420,2236,314,3009,1250,11505,0,1479,2144,6897,1424,2745,3072,2810,526,23954,13510,1779,18268,0,,,,
Bayview Hunters Point,2011,4190,579,154,6,241,36,328,0,253,166,285,88,268,243,220,74,1465,984,299,1442,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2011,1731,131,67,4,63,47,446,0,28,71,268,48,69,97,85,12,787,363,34,547,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2011,3931,266,168,9,42,155,1510,0,35,74,463,99,130,139,126,12,2145,666,43,1077,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2011,512,21,6,2,53,3,121,0,1,24,76,4,22,24,43,4,184,123,2,203,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2011,1115,57,52,15,79,27,162,0,40,61,220,9,44,54,85,7,351,274,47,443,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2011,745,57,67,4,15,24,148,0,38,46,99,11,35,50,18,5,338,154,41,212,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2011,6946,684,125,74,389,100,1237,0,139,241,853,204,290,323,375,81,2638,1804,171,2333,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2011,1402,127,45,11,16,27,419,0,16,41,195,20,71,90,55,10,675,283,20,424,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2011,6893,642,163,16,408,147,1518,0,205,107,974,198,315,267,532,54,2763,1453,230,2447,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2011,1648,131,109,7,34,51,273,0,62,101,259,20,97,139,18,10,674,402,68,504,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2011,7226,772,117,107,1164,141,863,0,76,53,876,203,344,156,621,70,2163,2392,100,2571,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2012,60920,5265,2730,337,2844,1210,13696,0,1468,2813,7463,1733,2539,3375,2731,624,27389,13514,1787,18230,0,,,,
Bayview Hunters Point,2012,4250,523,153,6,263,48,387,0,209,186,371,111,223,236,188,107,1491,1046,249,1464,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2012,1945,161,93,9,68,40,495,0,63,94,267,45,66,156,91,3,918,421,67,539,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2012,4365,253,192,20,54,142,1721,0,34,96,495,112,117,183,141,25,2409,750,53,1153,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2012,638,28,3,0,62,3,191,0,6,17,114,6,32,14,46,2,253,130,8,247,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2012,1256,53,69,11,91,19,207,0,56,69,294,17,50,48,88,12,423,275,60,498,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2012,754,58,81,3,10,16,161,0,30,58,79,10,44,54,16,3,382,154,34,184,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2012,6904,720,206,58,312,130,1290,0,180,289,799,224,257,408,338,87,2885,1679,204,2136,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2012,1391,123,58,7,18,28,484,0,17,43,168,22,65,86,50,14,747,266,22,356,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2012,7203,557,164,26,337,130,1963,0,146,136,1018,231,271,369,487,59,3164,1476,168,2395,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2012,1734,149,115,4,31,71,262,0,50,80,303,22,95,131,49,11,670,397,57,610,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2012,7078,695,150,131,1067,112,977,0,87,68,892,299,262,185,590,93,2302,2237,106,2433,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2013,66892,5460,2751,207,3043,1223,16150,0,1625,2751,9360,1859,2487,3034,3271,630,30175,13504,1964,21249,0,,,,
Bayview Hunters Point,2013,4224,555,134,9,191,29,439,0,113,228,468,106,198,231,234,95,1605,898,154,1567,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2013,2256,185,89,5,94,35,596,0,32,102,379,59,65,115,106,16,1060,435,44,717,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2013,4790,265,249,12,76,115,1938,0,63,72,622,122,147,180,187,10,2695,753,76,1266,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2013,672,26,6,1,54,6,226,0,8,20,104,5,23,40,55,3,287,141,10,234,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2013,1497,61,77,6,85,21,225,0,70,38,455,21,34,59,114,8,440,249,71,737,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2013,788,49,68,3,8,28,190,0,29,52,129,8,27,46,19,1,383,137,32,236,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2013,7939,775,217,59,407,142,1580,0,215,279,991,274,273,366,425,95,3284,1889,248,2518,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2013,1340,131,65,8,15,21,456,0,11,26,206,34,51,67,38,15,728,231,12,369,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2013,8098,537,224,15,422,135,2343,0,215,110,1216,191,301,282,531,80,3533,1625,236,2704,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2013,1638,119,81,4,41,50,297,0,55,98,309,22,70,104,39,14,649,340,64,585,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2013,8144,845,135,46,1055,123,1201,0,90,83,1175,321,311,201,708,91,2728,2273,117,3026,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2014,147017,12170,6033,343,5327,2976,37860,0,3728,7101,19319,3344,5179,7102,6637,1478,69031,27845,3728,46413,3,,,,
Bayview Hunters Point,2014,8933,1172,242,30,355,90,864,0,296,535,791,174,435,536,556,265,3275,2000,296,3362,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2014,4509,372,195,13,157,133,998,0,89,233,844,96,124,194,242,30,1979,818,89,1623,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2014,11674,560,573,13,171,326,4988,0,100,217,1393,225,307,462,414,38,6683,1807,100,3084,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2014,1755,45,9,0,97,27,732,0,25,40,249,13,37,76,102,9,856,276,25,598,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2014,3269,151,154,11,188,47,554,0,98,124,955,37,70,126,246,18,1040,535,98,1596,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2014,1784,94,135,4,20,42,468,0,66,146,231,15,76,96,33,9,881,296,66,541,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2014,16684,1639,548,105,712,338,3172,0,573,790,1956,489,620,686,983,238,7003,3582,573,5526,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
North Beach,2014,3630,285,145,12,59,92,1248,0,55,101,535,82,116,177,132,29,1899,647,55,1029,0,"[-122.415375, 37.809166]",37.80445731,-122.4111065,94133
South of Market,2014,17028,1268,473,31,584,275,5845,0,460,323,2351,343,506,784,858,134,8484,2828,460,5256,0,"[-122.405629, 37.778502]",37.77789188,-122.4070885,94103
Sunset/Parkside,2014,4214,262,233,2,54,118,796,0,151,302,727,56,187,308,86,25,1734,842,151,1487,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2014,16419,1899,310,45,1800,293,2729,0,253,246,2353,601,667,520,1275,217,6057,4266,253,5843,3,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2015,90494,9039,4146,341,2833,2148,15670,0,2503,5470,11949,2606,3777,4030,4759,1137,38872,17911,3180,30531,7,,,,
Bayview Hunters Point,2015,6125,828,202,16,243,60,424,0,208,391,612,163,277,286,341,175,2218,1251,317,2339,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2015,2787,268,147,7,70,79,429,0,43,212,500,77,103,136,171,29,1188,531,53,1015,2,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
