7TH ST / MISSION ST,34,2,1,10,ROBBERY,3074,6/23/2013 0:00,Sunday,"ROBBERY, BODILY FORCE",130516828,1/1/1900 21:00,2013,37.77921226,-122.4109392,SOUTHERN,"ARREST, BOOKED",32,0,South of Market,"-122.4109392, 37.77921226",1
GENEVA AV / MISSION ST,7,2,9,1,ROBBERY,3074,12/15/2008 0:00,Monday,"ROBBERY, BODILY FORCE",81336593,1/1/1900 18:30,2008,37.71645868,-122.4410181,INGLESIDE,NONE,58,0,Excelsior,"-122.44101809999998, 37.71645868",1
2600 Block of SAN BRUNO AV,25,2,2,2,WARRANTS,63010,4/18/2006 0:00,Tuesday,WARRANT ARREST,60413283,1/1/1900 12:40,2006,37.7282405,-122.4037759,BAYVIEW,"ARREST, BOOKED",91,3,Portola,"-122.4037759, 37.72824050000001",1
400 Block of JONES ST,36,2,5,10,DRUG/NARCOTIC,16740,2/11/2007 0:00,Sunday,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,70152813,1/1/1900 17:28,2007,37.7850961,-122.4127588,TENDERLOIN,"ARREST, CITED",20,1,Tenderloin,"-122.4127588, 37.7850961",1
500 Block of MONTGOMERY ST,6,2,6,3,LARCENY/THEFT,6374,10/30/2013 0:00,Wednesday,GRAND THEFT OF PROPERTY,136207154,1/1/1900 5:30,2013,37.79443233,-122.4031614,CENTRAL,NONE,104,0,Chinatown,"-122.4031614, 37.79443233",1
1100 Block of HAMPSHIRE ST,20,1,3,2,WARRANTS,62050,8/12/2011 0:00,Friday,ENROUTE TO OUTSIDE JURISDICTION,110646489,1/1/1900 23:24,2011,37.75368685,-122.4074373,MISSION,"ARREST, BOOKED",53,3,Mission,"-122.40743729999998, 37.75368685",1
300 Block of MAYNARD ST,7,2,9,1,NON-CRIMINAL,72000,8/28/2005 0:00,Sunday,FOUND PROPERTY,50968878,1/1/1900 22:30,2005,37.72939838,-122.4249068,INGLESIDE,NONE,94,3,Excelsior,"-122.4249068, 37.72939838",1
OCEAN AV / DELANO AV,28,1,9,1,NON-CRIMINAL,72000,8/13/2011 0:00,Saturday,FOUND PROPERTY,110648720,1/1/1900 18:30,2011,37.72308562,-122.4432731,INGLESIDE,NONE,94,3,Outer Mission,"-122.44327309999998, 37.72308562",1
400 Block of 4TH ST,34,2,1,10,OTHER OFFENSES,30190,1/29/2003 0:00,Wednesday,VIOLATION OF MUNICIPAL POLICE CODE,30116746,1/1/1900 8:31,2003,37.78012041,-122.3988736,SOUTHERN,"ARREST, CITED",32,3,South of Market,"-122.3988736, 37.78012041",1
1500 Block of SLOAT BL,35,1,10,8,LARCENY/THEFT,6361,4/27/2007 0:00,Friday,PETTY THEFT SHOPLIFTING,70432659,1/1/1900 18:50,2007,37.73394977,-122.489714,TARAVAL,"ARREST, CITED",43,0,Sunset/Parkside,"-122.489714, 37.73394977",1
0 Block of COLLINS ST,31,1,8,6,MOTOR VEHICLE THEFT,7025,4/2/2011 0:00,Saturday,STOLEN TRUCK,110269304,1/1/1900 18:00,2011,37.78526239,-122.4503033,RICHMOND,NONE,11,0,Presidio Heights,"-122.4503033, 37.78526239",1
22ND ST / MISSION ST,20,2,3,2,DRUG/NARCOTIC,16623,7/19/2003 0:00,Saturday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,30859554,1/1/1900 17:30,2003,37.75543719,-122.4187487,MISSION,"ARREST, BOOKED",53,1,Mission,"-122.4187487, 37.75543719",1
400 Block of 9TH AV,11,1,8,4,BURGLARY,5153,10/13/2010 0:00,Wednesday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",100956668,1/1/1900 16:00,2010,37.7798912,-122.4674886,RICHMOND,NONE,5,0,Inner Richmond,"-122.4674886, 37.7798912",1
400 Block of OFARRELL ST,36,2,5,10,DRUNKENNESS,19090,3/6/2009 0:00,Friday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,90240432,1/1/1900 20:12,2009,37.78589551,-122.4125694,TENDERLOIN,"ARREST, BOOKED",20,1,Tenderloin,"-122.4125694, 37.78589551",1
300 Block of ALABAMA ST,20,2,3,2,BURGLARY,5151,6/4/2013 0:00,Tuesday,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",130466239,1/1/1900 11:30,2013,37.76483328,-122.4122847,MISSION,NONE,53,0,Mission,"-122.4122847, 37.76483328",1
1200 Block of CAYUGA AV,28,2,9,1,SUSPICIOUS OCC,64070,12/21/2006 0:00,Thursday,SUSPICIOUS OCCURRENCE,61365904,1/1/1900 0:01,2006,37.71910833,-122.4433534,INGLESIDE,NONE,80,1,Outer Mission,"-122.4433534, 37.71910833",1
2500 Block of FILBERT ST,13,1,4,6,MOTOR VEHICLE THEFT,7021,9/9/2012 0:00,Sunday,STOLEN AUTOMOBILE,120724279,1/1/1900 20:00,2012,37.79723112,-122.4414497,NORTHERN,NONE,14,0,Marina,"-122.4414497, 37.79723112",1
GENEVA AV / PARIS ST,7,2,9,1,OTHER OFFENSES,65016,10/28/2009 0:00,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",91110945,1/1/1900 13:00,2009,37.71567436,-122.4394381,INGLESIDE,"ARREST, CITED",90,3,Excelsior,"-122.4394381, 37.71567436",1
